timestamp,student_id,name,attention,confidence,latest_label,latest_confidence
2025-08-13 21:01:15,1,Antonia,inattentive,1.0,inattentive,0.43
2025-08-13 21:01:15,2,Anna,attentive,1.0,attentive,0.7
2025-08-13 21:01:15,3,Robert,attentive,1.0,attentive,0.71
2025-08-13 21:01:15,4,David,attentive,1.0,attentive,0.73
2025-08-13 21:01:15,5,John,attentive,1.0,attentive,0.31
2025-08-13 21:01:15,6,Carla,inattentive,1.0,inattentive,0.0
2025-08-13 21:01:15,7,Laura,attentive,1.0,attentive,0.43
2025-08-13 21:01:15,8,micheal,inattentive,1.0,inattentive,0.39
2025-08-13 21:01:15,9,alice,attentive,1.0,attentive,0.76
2025-08-13 21:01:15,10,Amanda,inattentive,1.0,inattentive,0.48
2025-08-13 21:01:15,11,Dylan,inattentive,1.0,inattentive,0.57
2025-08-13 21:01:15,12,Alexandra,inattentive,1.0,inattentive,0.54
2025-08-13 21:01:15,13,Sandra,attentive,1.0,attentive,0.4
2025-08-13 21:01:15,14,Stephanie,attentive,1.0,attentive,0.77
2025-08-13 21:01:15,15,Thomas,attentive,1.0,attentive,0.61
2025-08-13 21:01:15,16,Emily,attentive,1.0,attentive,0.62
2025-08-13 21:01:15,17,Claudia,attentive,1.0,attentive,0.59
2025-08-13 21:01:15,18,Noah,attentive,1.0,attentive,0.69
2025-08-13 21:01:15,19,Carol,attentive,1.0,attentive,0.45
2025-08-13 21:01:16,1,Antonia,inattentive,0.79,attentive,0.65
2025-08-13 21:01:16,2,Anna,attentive,1.0,attentive,0.39
2025-08-13 21:01:16,3,Robert,attentive,1.0,attentive,0.7
2025-08-13 21:01:16,4,David,attentive,0.67,attentive,0.74
2025-08-13 21:01:16,6,Carla,inattentive,0.96,inattentive,0.0
2025-08-13 21:01:16,5,John,attentive,0.58,attentive,0.28
2025-08-13 21:01:16,7,Laura,attentive,1.0,attentive,0.54
2025-08-13 21:01:16,9,alice,attentive,1.0,attentive,0.76
2025-08-13 21:01:16,8,micheal,attentive,0.75,attentive,0.76
2025-08-13 21:01:16,10,Amanda,inattentive,1.0,inattentive,0.49
2025-08-13 21:01:16,11,Dylan,attentive,0.79,attentive,0.6
2025-08-13 21:01:16,12,Alexandra,inattentive,0.83,inattentive,0.64
2025-08-13 21:01:16,15,Thomas,attentive,0.96,attentive,0.63
2025-08-13 21:01:16,13,Sandra,attentive,1.0,attentive,0.63
2025-08-13 21:01:16,14,Stephanie,attentive,1.0,attentive,0.75
2025-08-13 21:01:16,18,Noah,attentive,1.0,attentive,0.66
2025-08-13 21:01:16,17,Claudia,attentive,1.0,attentive,0.77
2025-08-13 21:01:16,16,Emily,attentive,1.0,attentive,0.59
2025-08-13 21:01:16,19,Carol,attentive,1.0,attentive,0.62
2025-08-13 21:01:17,1,Antonia,inattentive,0.54,inattentive,0.35
2025-08-13 21:01:17,3,Robert,attentive,1.0,attentive,0.7
2025-08-13 21:01:17,9,alice,attentive,1.0,attentive,0.76
2025-08-13 21:01:17,2,Anna,attentive,1.0,attentive,0.65
2025-08-13 21:01:17,7,Laura,attentive,1.0,attentive,0.6
2025-08-13 21:01:17,4,David,attentive,0.96,attentive,0.75
2025-08-13 21:01:17,5,John,attentive,0.54,inattentive,0.0
2025-08-13 21:01:17,6,Carla,inattentive,0.96,inattentive,0.0
2025-08-13 21:01:17,8,micheal,inattentive,0.62,attentive,0.69
2025-08-13 21:01:17,12,Alexandra,inattentive,0.92,inattentive,0.6
